Genome Name / Sample Name	JGI Project ID / ITS PID	DB	IMG_Name	IMG_Downloaded
Pseudomonas tuomuerensis CGMCC 1.1365	1041463	PsetuoCGMCC11365_FD	PsetuoCGMCC11365_FD.2596583557.tar.gz	YES
Streptomyces emeiensis CGMCC 4.3504	1076399	StremeCGMCC43504_FD	StremeCGMCC43504_FD.2663762722.tar.gz	YES
Pseudomonas mosselii DSM 17497	1021491	PsemosDSM17497_FD	PsemosDSM17497_FD.3415905-2556921653.tar.gz	YES
Pontibacter actiniarum KMM 6156, DSM 19842	401086	null	NA	NO
Bradyrhizobium japonicum USDA 135	404544	YUQDRAFT_8377	YUQDRAFT_8377.2513237102.tar.gz	YES
Paenibacillus taiwanensis DSM 18679	1013819	PaetaiDSM18679_FD	PaetaiDSM18679_FD.3367607-2524614883.tar.gz	YES
Brachyspira hyodysenteriae ATCC 27164	1008117	BrahyoATCC27164_FD	BrahyoATCC27164_FD.2519899693.tar.gz	YES
Shewanella baltica OS117	402580	ShebalOS117_FD	NA	NO
Sinorhizobium meliloti AK58	403397	SinmelAK58_FD	SinmelAK58_FD.2511231052.tar.gz	YES
Leifsonia sp. 115AMFTsu3.1	1065163	Leisp115AMFTsu1_FD	Leisp115AMFTsu1_FD.2639763198.tar.gz	YES
Mycobacterium sp. 365MFTsu	1065157	Mycsp365MFTsu_FD	Mycsp365MFTsu_FD.2639762559.tar.gz	YES
Campylobacter upsaliensis DSM 5365	1011157	CamupsDSM5365_FD	CamupsDSM5365_FD.2556921624.tar.gz	YES
Lactobacillus casei UW4	404734	null	NA	NO
Pseudomonas sp. NFPP22	1049703	PsespNFPP22_FD	PsespNFPP22_FD.2667528171.tar.gz	YES
Thioalkalivibrio sp. ALJ2	1000364	ThispALJ2_FD	ThispALJ2_FD.2518645583.tar.gz	YES
Dehalococcoides mccartyi BAV1	16704	deh_b	NA	NO
Fulvimarina manganoxydans CGMCC 1.10972	1128551	FulmanCGMC110972_FD	FulmanCGMC110972_FD.2718217637.tar.gz	YES
Burkholderia vietnamiensis G4	16629	bur08	NA	NO
Thioalkalivibrio paradoxus ARh 1	401910	ThiparARh1_FD	ThiparARh1_FD.2512875033.tar.gz	YES
Pseudobutyrivibrio sp AR14	1034289	PsespAR14_FD	PsespAR14_FD.2596583543.tar.gz	YES
Salinispora arenicola CNH996B	1025299	null	NA	NO
Pseudanabaena sp. PCC 6802	401171	PsespPCC6802_FD	PsespPCC6802_FD.2506783054.tar.gz	YES
Thioalkalivibrio sp. ALE12	1000433	ThispALE12_FD	ThispALE12_FD.2521172657.tar.gz	YES
Bacillus sp. 123MFChir2	1000016	Bacsp123MFChir2_FD	Bacsp123MFChir2_FD.2521172627.tar.gz	YES
Massilia niastensis DSM 21313	1007454	MasniaDSM21313_FD	MasniaDSM21313_FD.2521172636.tar.gz	YES
Aliidiomarina maris CGMCC 1.15366	1128550	IdimarCGMC115366_FD	IdimarCGMC115366_FD.2718217660.tar.gz	YES
Elioraea tepidiphila DSM 17972	1002917	ElitepDSM17972_FD	ElitepDSM17972_FD.2519899683.tar.gz	YES
Leptolyngbya sp. PCC 7376	401181	LepspPCC7376_FD	LepspPCC7376_FD.2503754048.tar.gz	YES
Garciella nitratireducens DSM 15102	1030716	GarnitDSM15102_FD	GarnitDSM15102_FD.2568526006.tar.gz	YES
Mucilaginibacter sp. YR332	1057557	MucspYR332_FD	MucspYR332_FD.2616644844.tar.gz	YES
Ruegeria marina CGMCC 1.9108	1058188	RuemarCGMCC19108_FD	RuemarCGMCC19108_FD.2617270884.tar.gz	YES
Alicyclobacillus macrosporangiidus CPP55	1016407	AlimacCPP55_FD	AlimacCPP55_FD.3408188-2561511097.tar.gz	YES
Roseinatronobacter thiooxidans DSM 13087	1048978	null	NA	NO
Nostoc sp. PCC 7107	401185	NostocspPCC7107_FD	NostocspPCC7107_FD.2503707008.tar.gz	YES
Butyrivibrio fibrisolvens ND3005	1012758	ButfibND3005_FD	ButfibND3005_FD.2524614875.tar.gz	YES
Thiocystis violascens 611, DSM 198	403164	ThivioDSM198_FD	ThivioDSM198_FD.2508501051.tar.gz	YES
Saprospira grandis HR1, DSM 2844	97936	SapgraDSM2844_FD	SapgraDSM2844_FD.2088090011.tar.gz	YES
Butyrivibrio sp. LB2008	1020353	null	NA	NO
Proteus mirabilis NLAE-zl-C285	1082176	PromirNLAEzlC285_FD	PromirNLAEzlC285_FD.2654588119.tar.gz	YES
Carnobacterium mobile MT37L, DSM 4848	1022039	CarmobMT37L_FD	CarmobMT37L_FD.2576861400.tar.gz	YES
Paracoccus isoporae DSM 22220	1086260	ParisoDSM22220_FD	ParisoDSM22220_FD.2675903152.tar.gz	YES
Glycomyces harbinensis CGMCC 4.3516	1076402	GlyharCGMCC43516_FD	GlyharCGMCC43516_FD.2663762751.tar.gz	YES
Enterobacteriaceae bacterium FGI 57	1009416	CrospFGI57_FD	CrospFGI57_FD.2507262057.tar.gz	YES
Acholeplasma multilocale ATCC 49900	1008090	AchmulATCC49900	NA	NO
Sphingobacterium composti DSM 18850	1107844	SphcomDSM18850_FD	SphcomDSM18850_FD.2700988711.tar.gz	YES
Anaeroarcus burkinensis DSM 6283	1013936	AnaburDSM6283_FD	AnaburDSM6283_FD.3367553-2524614635.tar.gz	YES
Delftia acidovorans ATCC 11299b	1087038	DelaciATCC11299b_FD	DelaciATCC11299b_FD.2667527212.tar.gz	YES
Paraburkholderia tuberum DUS833	1066117	BurtubDUS833_FD	BurtubDUS833_FD.2693429822.tar.gz	YES
Caldibacillus debilis DSM 16016	406079	CaldebDSM16016_FD	CaldebDSM16016_FD.2515154121.tar.gz	YES
Arcobacter marinus MIP3H_Col16	1120086	ArcmarIP3H_Col16_FD	ArcmarIP3H_Col16_FD.2700989666.tar.gz	YES
Campylobacter cuniculorum DSM 23162	1011145	CamcunDSM23162_FD	CamcunDSM23162_FD.2558309001.tar.gz	YES
Conchiformibius kuhniae DSM 17694	1010704	ConkuhDSM17694	NA	NO
Enterococcus cecorum DSM 20682	405842	EntDSM20682_FD	EntDSM20682_FD.2515154031.tar.gz	YES
Paraburkholderia mimosarum STM3621	404557	BurmimSTM3621_FD	BurmimSTM3621_FD.2513237082.tar.gz	YES
Streptomyces canus 299MFChir4.1	1003073	Strcan299MFChir1_FD	Strcan299MFChir1_FD.2521172643.tar.gz	YES
Flavobacterium degerlachei DSM 15718	1108118	FladegDSM15718_FD	FladegDSM15718_FD.2693429883.tar.gz	YES
Mycoplasma synoviae ATCC 25204	1008138	MycsynATCC25204_FD	MycsynATCC25204_FD.2519899698.tar.gz	YES
Scytonema hofmanni UTEX 2349	202792	null	NA	NO
Agrobacterium sp. 224MFTsu3.1	1000046	null	NA	NO
Mucilaginibacter pineti 47C3B	1102498	Mucpin47C3B_FD	Mucpin47C3B_FD.2671180113.tar.gz	YES
Sporomusa acidovorans DSM 3132	1059109	SpoaciDSM3132_FD	SpoaciDSM3132_FD.2622736588.tar.gz	YES
Bradyrhizobium genosp. SA-4 CB756	404029	BragenS4strCB756_FD	BragenS4strCB756_FD.2516653048.tar.gz	YES
Mycobacterium litorale CGMCC 4.5724	1085108	MyclitCGMCC45724_FD	MyclitCGMCC45724_FD.2681812963.tar.gz	YES
Rhizobium leguminosarum bv. phaseoli 4292	404037	Rhilegphaseo4292_FD	Rhilegphaseo4292_FD.2516653085.tar.gz	YES
Dyadobacter fermentans NS114, DSM 18053	98001	dyafe	NA	NO
Streptomyces sulphureus DSM 40104	1001144	StrsulDSM40104_FD	StrsulDSM40104_FD.2518645610.tar.gz	YES
Flavobacterium sp. Fl	1041595	FlaspFl_FD	FlaspFl_FD.2582581864.tar.gz	YES
Bhargavaea beijingensis CGMCC 1.6762	1058149	BhabeiCGMCC16762_FD	BhabeiCGMCC16762_FD.2619618820.tar.gz	YES
Flavobacterium dankookense DSM 25687	1108147	FladanDSM25687_FD	FladanDSM25687_FD.2695421041.tar.gz	YES
Pseudomonas extremaustralis DSM 17835	1075357	PseextDSM17835_FD	PseextDSM17835_FD.2667527225.tar.gz	YES
Streptomyces jietaisiensis CGMCC 4.1859	1076388	StrjieCGMCC41859_FD	StrjieCGMCC41859_FD.2667527442.tar.gz	YES
Arenibacter echinorum DSM 23522	1048900	AreechDSM23522_FD	AreechDSM23522_FD.2593339296.tar.gz	YES
Pseudonocardia dioxanivorans CB1190	101001	PsedioCB1190_FD	PsedioCB1190_FD.2502171183.tar.gz	YES
Micromonospora zamorensis DSM 45600	1059278	MiczamDSM45600_FD	MiczamDSM45600_FD.2617270899.tar.gz	YES
Bradyrhizobium sp. URHD0069	1024187	BraspURHD0069_FD	BraspURHD0069_FD.2561511129.tar.gz	YES
Desulfovibrio vulgaris vulgaris DP4	16961	desvu	NA	NO
Hydrotalea sandarakina DSM 23241	1049056	HydsanDSM23241_FD	HydsanDSM23241_FD.2593339290.tar.gz	YES
Geodermatophilus saharensis DSM 45423	1059056	GeosahDSM45423_FD	GeosahDSM45423_FD.2622736631.tar.gz	YES
Fontibacter flavus DSM 22241	1048906	FonflaDSM22241_FD	FonflaDSM22241_FD.2596583521.tar.gz	YES
Olleya aquimaris DSM 24464	1048939	OllaquDSM24464_FD	OllaquDSM24464_FD.2593339297.tar.gz	YES
Cupriavidus sp. UYPR2.512	404566	CupspUYPR2512	CupspUYPR2512.2513237163.tar.gz	YES
Cyclobacterium marinum Raj, DSM 745	401036	CycmarDSM745_FD	CycmarDSM745_FD.2506381023.tar.gz	YES
Klebsiella sp. NFIX44	1049865	KlespNFIX44_FD	KlespNFIX44_FD.2600255306.tar.gz	YES
Sphingomonas sp. PR090111-T3T-6A	401130	SphspPR090T3T6A_FD	SphspPR090T3T6A_FD.2619619096.tar.gz	YES
Mycobacterium rutilum DSM 45405	1068309	MycrutDSM45405_FD	MycrutDSM45405_FD.2636415969.tar.gz	YES
Cellulophaga baltica DSM 24729	1059080	CelbalDSM24729_FD	CelbalDSM24729_FD.2622736528.tar.gz	YES
Yersinia pestis Antiqua	16827	yespa	yespa.2606217702.tar.gz	YES
Pseudobutyrivibrio ruminis HUN009	1020221	PserumHUN009_FD	PserumHUN009_FD.2561511221.tar.gz	YES
Ruminococcus flavefaciens YAD2003	1034217	RumflaYAD2003_FD	RumflaYAD2003_FD.2593339145.tar.gz	YES
Salinivibrio sp. ES.052	1101005	SalspES052_FD	SalspES052_FD.2695421045.tar.gz	YES
Klebsiella variicola F10Cl	1042736	KlevarF10Cl_FD	KlevarF10Cl_FD.2588254270.tar.gz	YES
Listeria ivanovii ATCC 49954	1095796	LisivaATCC49954_FD	LisivaATCC49954_FD.2675903700.tar.gz	YES
Eubacterium pyruvativorans i6	1060323	Eubpyri6_FD	Eubpyri6_FD.2623620515.tar.gz	YES
Amycolatopsis benzoatilytica DSM 43387	404844	AmybenAK1665_FD	AmybenAK1665_FD.2517287020.tar.gz	YES
Bacillus anthracis A0465	16564	null	NA	NO
Salinispora pacifica CNT150	407379	SalpacCNT150_2_FD	SalpacCNT150_2_FD.2515154136.tar.gz	YES
Chromobacterium haemolyticum DSM 19808	1030899	ChrhaeDSM19808_FD	ChrhaeDSM19808_FD.2565956523.tar.gz	YES
Thermosyntropha lipolytica DSM 11003	1036692	ThelipDSM11003_FD	ThelipDSM11003_FD.2585428064.tar.gz	YES
Teredinibacter turnerae 1675L.S.0a.01	1017230	Tertur1675LS0a01_FD	Tertur1675LS0a01_FD.2571042908.tar.gz	YES
Sulfurihydrogenibium sp. YO3AOP1	52077	sul_y	NA	NO
Roseiflexus sp. RS-1	16347	ros_r	NA	NO
Atopostipes suicloacalis DSM 15692	1036725	AtosuiDSM15692_FD	AtosuiDSM15692_FD.2582581273.tar.gz	YES
Rhodococcus rhodochrous J38	403823	RhorhoJ38_FD	RhorhoJ38_FD.2505679065.tar.gz	YES
Ktedonobacter racemifer SOSP1-21, DSM 44963	98012	ktera	NA	NO
Isoptericola variabilis J7	403795	IsovarJ7_FD	IsovarJ7_FD.2505679053.tar.gz	YES
Amycolatopsis niigatensis DSM 45165	1068307	AmyniiDSM45165_FD	AmyniiDSM45165_FD.2627854290.tar.gz	YES
Paenibacillus sp. UNCCL52	1026384	PaespUNCCL52_FD	PaespUNCCL52_FD.2563366513.tar.gz	YES
Streptomyces atratus OK008	1035642	StratrOK008_FD	StratrOK008_FD.2582581312.tar.gz	YES
Anoxybacillus vitaminiphilus CGMCC 1.8979	1128553	AnovitCGMCC18979_FD	AnovitCGMCC18979_FD.2718217676.tar.gz	YES
Thermoactinomyces sp. DSM 45892	1108081	ThespDSM45892_FD	ThespDSM45892_FD.2693429913.tar.gz	YES
Pseudomonas sp. URMO17WK12:I10	1007014	PsespURMO17WI10_FD	PsespURMO17WI10_FD.2521172672.tar.gz	YES
Clostridium cocleatum DSM 1551	1068514	ClococDSM1551_FD	ClococDSM1551_FD.2634166354.tar.gz	YES
Prevotella ruminicola BPI-34	1060348	PrerumBPI34_FD	PrerumBPI34_FD.2623621019.tar.gz	YES
Saccharomonospora viridis P101, DSM 43017	97972	sacvi	NA	NO
Burkholderia sp. WP40	1035861	BurspWP40_FD	BurspWP40_FD.2615840645.tar.gz	YES
Leucobacter chromiiresistens DSM 22788	1068274	LeuchrDSM22788_FD	LeuchrDSM22788_FD.2639762569.tar.gz	YES
Micromonospora chaiyaphumensis DSM 45246	1059052	MicchaDSM45246_FD	MicchaDSM45246_FD.2622736432.tar.gz	YES
Lysinibacillus sp. LD79	1039596	LysspLD79_FD	LysspLD79_FD.2585428096.tar.gz	YES
Weissella hellenica R-53116	1052830	WeihelR53116	NA	NO
Cellulosimicrobium cellulans DSM 43879	1052592	CelcelDSM43879_FD	CelcelDSM43879_FD.2623620579.tar.gz	YES
Prevotellaceae bacterium KH2P17	1060331	PrebacKH2P17_FD	PrebacKH2P17_FD.2623620487.tar.gz	YES
Chloroflexus sp. Y-396-1	400015	ChlspY3961_FD	ChlspY3961_FD.2506520040.tar.gz	YES
Desulfovibrio legallii KHC7	1082164	DeslegKHC7_FD	DeslegKHC7_FD.2651870316.tar.gz	YES
Microbacterium paraoxydans 77MFTsu3.2	1001066	Micpar77MFTsu32_FD	Micpar77MFTsu32_FD.2521172614.tar.gz	YES
Geobacter metallireducens RCH3	402651	null	NA	NO
Tenacibaculum sp. Mar_2010_205	1047284	Tenspr_2010_205_FD	Tenspr_2010_205_FD.2596583696.tar.gz	YES
Leptothrix cholodnii SP-6	16470	lepch	NA	NO
Enterovibrio nigricans DSM 22720	1030734	EntnigDSM22720_FD	EntnigDSM22720_FD.2568526010.tar.gz	YES
Pontibacter ummariensis NKM1	1118373	PonummNKM1_FD	PonummNKM1_FD.2706794922.tar.gz	YES
Polycyclovorans algicola TG408	1022109	null	NA	NO
Alteromonadaceae bacterium 1120W.S.0a.04	1021876	Altbac1120WS0a04_FD	Altbac1120WS0a04_FD.3383207-2558309032.tar.gz	YES
Paracoccus tibetense CGMCC 1.8925	1041457	PartibCGMCC18925_FD	PartibCGMCC18925_FD.2596583549.tar.gz	YES
Bradyrhizobium japonicum USDA 122	404540	BrajapUSDA122_FD	BrajapUSDA122_FD.2513237095.tar.gz	YES
Bacillus sp. CL25	1065177	BacillusspCL25_FD	BacillusspCL25_FD.2639762622.tar.gz	YES
Massilia alkalitolerans DSM 17462	405585	null	NA	NO
Solobacterium moorei DSM 22971	1008478	SolmooDSM22971_FD	SolmooDSM22971_FD.2524614654.tar.gz	YES
Saccharophagus degradans 2-40	16350	micde	micde.2606217277.tar.gz	YES
Flavobacterium sp. OV086	1057545	null	NA	NO
Bacillus thuringiensis konkukian sv. H34 97-27	16930	bacth	bacth.2606217540.tar.gz	YES
Krasilnikoviella flava DSM 21481	1053043	ProflaDSMZ21481_FD	ProflaDSMZ21481_FD.2596583702.tar.gz	YES
Cohnella sp. SGD-V74	1121068	CohspSGDV74_FD	CohspSGDV74_FD.2708743146.tar.gz	YES
Lachnospiraceae bacterium YSD2013	1034235	LacbacYSD2013_FD	LacbacYSD2013_FD.2596583542.tar.gz	YES
Ruminococcaceae bacterium P7	1034340	RumbacP7_FD	RumbacP7_FD.2593339217.tar.gz	YES
Riemerella anatipestifer A350/72, DSM 15868	401092	RieanaDSM15868_FD	NA	NO
Microbacterium pygmaeum DSM 23142	1068277	null	NA	NO
Lactobacillus casei ATCC 334	16739	lacca	NA	NO
Enterococcus faecium DO	16726	EntfaeDO_FD	EntfaeDO_FD.2606217582.tar.gz	YES
Cellulomonas sp. FA1	1030528	CelspFA1_FD	CelspFA1_FD.2590828817.tar.gz	YES
Flavobacterium pectinovorum DSM 6368	1107832	FlapecDSM6368_FD	FlapecDSM6368_FD.2698536748.tar.gz	YES
Pseudomonas benzenivorans DSM 8628	1090700	PsebenDSM8628_FD	PsebenDSM8628_FD.2663762779.tar.gz	YES
Crocinitomix catalasitica ATCC 23190	1024779	CrocatATCC23190_FD	CrocatATCC23190_FD.3361106-2556921666.tar.gz	YES
Methylomonas sp. 11b	404090	Metsp11b_FD	Metsp11b_FD.2516143012.tar.gz	YES
Pseudomonas peli LMG 23201	1090728	PsepelLMG23201_FD	PsepelLMG23201_FD.2671180067.tar.gz	YES
Ruegeria halocynthiae DSM 27839	1108156	null	NA	NO
Paenibacillus pasadenensis DSM 19293	1013861	null	NA	NO
Micrococcus luteus VTM4R57	1060352	MiclutVTM4R57_FD	MiclutVTM4R57_FD.2623620484.tar.gz	YES
Streptococcus bovis C277	1060330	StrbovC277_FD	StrbovC277_FD.2623621021.tar.gz	YES
Aestuariibacter salexigens DSM 15300	1010836	AessalDSM15300_FD	AessalDSM15300_FD.2524614540.tar.gz	YES
Vibrio xiamenensis CGMCC 1.10228	1058205	VibxiaCGMC110228_FD	VibxiaCGMC110228_FD.2617270927.tar.gz	YES
Streptococcus bovis AG46	1020281	StrbovAG46_FD	StrbovAG46_FD.2562617049.tar.gz	YES
Porphyrobacter cryptus DSM 12079	1010818	null	NA	NO
Desulfobulbus japonicus DSM 18378	1010794	DesjapDSM18378_FD	DesjapDSM18378_FD.2524614762.tar.gz	YES
Pediococcus pentosaceus ATCC 25745	16844	pedpe	NA	NO
Streptomyces sp. DpondAA-F4	401140	StrspMPBF42_FD	StrspMPBF42_FD.2657245715.tar.gz	YES
Agrococcus jejuensis DSM 22002	1068264	AgrjejDSM22002_FD	AgrjejDSM22002_FD.2634166279.tar.gz	YES
Nitrosomonas communis Nm110	1098094	null	NA	NO
Pediococcus acidilactici AGR20	1020263	PedaciAGR20_FD	PedaciAGR20_FD.2531839746.tar.gz	YES
Prevotella veroralis DSM 19559	1006799	PreverDSM19559_FD	PreverDSM19559_FD.2517572238.tar.gz	YES
Methylosinus sp. LW3	1009413	MetspLW3_FD	MetspLW3_FD.2517093011.tar.gz	YES
Burkholderia sp. YR281	1057526	null	NA	NO
Bacillus enclensis SGD-1123	1052887	BacencSGD1123_FD	BacencSGD1123_FD.2617270721.tar.gz	YES
Bacillus sp. CL96	1065180	BacillusspCL96_FD	BacillusspCL96_FD.2639762528.tar.gz	YES
Methylophilus sp. #1	404069	MetspStrain1_FD	MetspStrain1_FD.2517093014.tar.gz	YES
Treponema saccharophilum PB, DSM 2985	402750	TresacDSM2985_FD	TresacDSM2985_FD.2509276055.tar.gz	YES
Myroides phaeus DSM 23313	1086220	MyrphaDSM23313_FD	MyrphaDSM23313_FD.2675903217.tar.gz	YES
Cucumibacter marinus DSM 18995	1012031	CucmarDSM18995_FD	CucmarDSM18995_FD.2524614806.tar.gz	YES
Pelosinus fermentans R7	1068796	ClotheLQRI_FD	ClotheLQRI_FD.2634166898.tar.gz	YES
Jeotgalicoccus marinus DSM 19772	1013780	JeomarDSM19772_FD	JeomarDSM19772_FD.2523533549.tar.gz	YES
Actinomadura rifamycini DSM 43936	1010953	ActcreriDSM43936_FD	ActcreriDSM43936_FD.2523533532.tar.gz	YES
Salinimonas chungwhensis DSM 16280	1003040	null	NA	NO
Variovorax sp. OV700	1094178	VarspOV700	NA	NO
Pseudomonas panipatensis LMG 24738	1090727	PsepanLMG24738_FD	PsepanLMG24738_FD.2663762770.tar.gz	YES
Aquaspirillum serpens DSM 68	1011998	AquserDSM68_FD	AquserDSM68_FD.2524614869.tar.gz	YES
Mycoplasma felis ATCC 23391	1024863	MycfelATCC23391_FD	MycfelATCC23391_FD.3417058-2561511083.tar.gz	YES
Sporolactobacillus vineae DSM 21990	1003064	SpovinDSM21990_FD	SpovinDSM21990_FD.2518645619.tar.gz	YES
Raoultella terrigena R1Gly	1042730	RaoterR1Gly_FD	RaoterR1Gly_FD.2588254291.tar.gz	YES
Mesoaciditoga lauensis cd-1655R, DSM 25116	1001309	LaotheDSM25116_FD	LaotheDSM25116_FD.2579779163.tar.gz	YES
Paenibacillus naphthalenovorans PR-N1	1084712	PaenapPRN1_FD	PaenapPRN1_FD.2675903031.tar.gz	YES
Nocardioides sp. URHA0020	1024208	NocspURHA0020_FD	NocspURHA0020_FD.2558860971.tar.gz	YES
Butyricimonas synergistica DSM 23225	405753	Butsy_DSM_23225	Butsy_DSM_23225.2515154026.tar.gz	YES
Pseudomonas delhiensis LMG 24737	1090708	PsedelLMG24737_FD	PsedelLMG24737_FD.2671180033.tar.gz	YES
Lutimaribacter saemankumensis DSM 28010	1086189	LutsaeDSM28010_FD	LutsaeDSM28010_FD.2675903213.tar.gz	YES
Thermoanaerobacter ethanolicus JW 200	52212	TheethJW200_FD	TheethJW200_FD.2503538027.tar.gz	YES
Myxococcus xanthus DSM 16526	1108101	MyxxanDSM16526_FD	MyxxanDSM16526_FD.2693429903.tar.gz	YES
Nitrosomonas sp. 41 Nm58	1098113	Nitsp41Nm58_FD	Nitsp41Nm58_FD.2675903036.tar.gz	YES
Lachnobacterium bovis C6A12	1026047	null	NA	NO
Olsenella sp. KH2P3	1050048	null	NA	NO
Clostridium caminithermale DSM 15212	1036707	ClocamDSM15212_FD	ClocamDSM15212_FD.2585428176.tar.gz	YES
Salinispora arenicola CNX482	407372	SalareCNX482_2_FD	SalareCNX482_2_FD.2515154137.tar.gz	YES
Sanguibacter keddieii ST-74, DSM 10542	98676	sanke	NA	NO
Azospirillum halopraeferens DSM 3675	1011989	AzohalDSM3675_FD	AzohalDSM3675_FD.2522572158.tar.gz	YES
Stenotrophomonas sp. CC120223-11	1023626	StespCC12022311_FD	StespCC12022311_FD.2545824508.tar.gz	YES
Defluviimonas indica DSM 24802	1108141	DefindDSM24802_FD	DefindDSM24802_FD.2693429897.tar.gz	YES
Chryseobacterium soldanellicola DSM 17072	1086249	ChrsolDSM17072_FD	ChrsolDSM17072_FD.2684622906.tar.gz	YES
Treponema sp. C6A8	1026050	TreponemaspC6A8_FD	TreponemaspC6A8_FD.3407216-2558860124.tar.gz	YES
Legionella cherrii DSM 19213	1011124	LegcheDSM19213_FD	LegcheDSM19213_FD.3415963-2558309037.tar.gz	YES
Pantoea sesami Si-M154	1102474	PansesSiM154_FD	PansesSiM154_FD.2675903011.tar.gz	YES
Duganella sp. OV510	1094121	DugspOV510_FD	DugspOV510_FD.2684623000.tar.gz	YES
Rhodopseudomonas palustris BisB5	16339	rhop5	rhop5.2606217375.tar.gz	YES
Flavobacterium glycines Gm-149	1071315	FlaglyGm149_FD	FlaglyGm149_FD.2660237900.tar.gz	YES
Thermotoga Toll_T1-r02 (Novel Thermotoga (BCH_13_ug5))	0	pinbe	NA	NO
Lentzea violacea DSM 44796	1055172	LenvioDSM44796_FD	LenvioDSM44796_FD.2619619033.tar.gz	YES
Geobacter bremensis R1	1015893	GeobreR1_FD	GeobreR1_FD.2524023206.tar.gz	YES
Nakamurella multipartita Y-104, DSM 44233	97924	nakmu	NA	NO
Coprobacter fastidiosus DSM 26242	1108150	null	NA	NO
Streptomyces sp. 1222.5	1107030	Strsp12225_FD	Strsp12225_FD.2690315622.tar.gz	YES
Pseudomonas sabulinigri CECT 7679	1091817	PsesabCECT7679_FD	PsesabCECT7679_FD.2675902958.tar.gz	YES
