Genome	FullLength	PartialLength
2509276065	4	0
2509276066	5	0
2509276067	5	0
2509601001	3	0
2509601004	8	0
2509601008	2	0
2509601011	2	0
2509601013	3	0
2509601014	1	0
2509601017	5	0
2509601019	1	0
2509601020	3	0
2509601025	4	0
2509601026	2	0
2509601027	3	0
2509601028	2	0
2509601029	2	0
2509601031	3	0
2509601032	5	0
2509601034	4	0
2509601035	2	0
2509601036	4	0
2509601038	5	0
2509601039	3	0
2509601041	3	0
2509601042	2	0
2509601044	1	0
2509601046	2	0
2509601048	3	0
2509887024	5	0
2509887025	1	0
2509887032	2	0
2509887033	1	0
2509887034	2	0
2510065005	1	0
2510065008	3	0
2510065009	1	0
2510065010	2	0
2510065011	1	0
2510065015	4	0
2510065016	4	0
2510065019	3	0
2510065032	3	0
2510065044	11	0
2510065045	1	0
2510065046	2	0
2510065049	1	0
2510065050	3	0
2510065051	2	0
2510065052	5	0
2510065053	2	0
2510065054	0	1
2510065055	1	0
2510065056	1	0
2510065057	1	0
2510065058	2	0
2510065059	1	0
2510065060	1	0
2510065062	4	0
2510065063	1	0
2510065064	1	0
2510065076	3	0
2510065083	1	0
2510065084	3	0
2510065085	3	0
2510065086	2	0
2510065087	4	0
2510065088	1	0
2510065089	5	0
2510065090	5	0
2510065091	5	0
2510065092	1	0
2510436000	3	0
2510436001	2	0
2510436004	8	0
2510461000	0	0
2510461002	2	0
2510461022	3	0
2510461023	4	1
2510461053	2	0
2510461070	2	0
2510461076	2	0
2510461079	1	0
2510917000	1	0
2511231041	1	0
2511231042	1	0
2511231043	1	0
2511231049	1	0
2511231052	1	0
2512047086	3	0
2512047087	4	0
2512047088	14	0
2512047091	2	0
2512564009	5	0
2512564010	3	0
2512564011	2	0
2512564012	4	0
2512564015	2	0
2512564091	2	0
2512875013	1	0
2512875014	3	0
2512875015	5	0
2512875016	2	0
2512875023	0	0
2512875024	2	0
2512875026	3	0
2512875027	4	0
2512875033	1	0
2513020008	4	0
2513020036	1	0
2513020047	1	0
2513020048	2	0
2513237078	1	0
2513237082	2	0
2513237083	1	0
2513237084	1	0
2513237085	1	0
2513237086	1	0
2513237087	2	0
2513237088	1	0
2513237089	1	0
2513237090	2	0
2513237091	1	0
2513237092	1	0
2513237093	0	1
2513237094	1	0
2513237095	1	0
2513237096	1	0
2513237097	2	0
2513237098	4	0
2513237099	1	0
2513237100	1	0
2513237101	1	0
2513237102	1	0
2513237103	1	0
2513237104	1	0
2513237107	3	1
2513237108	0	0
2513237109	2	0
2513237111	2	0
2513237112	2	0
2513237113	5	0
2513237114	2	1
2513237115	3	0
2513237116	3	0
2513237117	2	0
2513237118	0	1
2513237119	3	0
2513237120	2	0
2513237121	1	0
2513237122	3	0
2513237123	1	0
2513237133	1	0
2513237135	2	0
2513237136	1	0
2513237137	1	0
2513237138	1	0
2513237139	1	0
2513237140	1	0
2513237141	1	0
2513237142	1	0
2513237143	1	0
2513237144	1	0
2513237145	1	0
2513237146	1	0
2513237147	2	0
2513237148	2	0
2513237150	2	0
2513237151	2	0
2513237152	6	0
2513237153	1	0
2513237154	2	0
2513237155	1	0
2513237156	1	0
2513237157	1	0
2513237158	0	0
2513237159	1	0
2513237160	1	0
2513237161	1	0
2513237162	1	0
2513237163	2	0
2513237164	1	0
2513237165	1	0
2513237166	1	0
2514885007	1	0
2514885008	2	0
2515075008	3	0
2515075009	3	0
2515075013	3	0
2515154010	2	0
2515154011	3	2
2515154012	2	0
2515154013	6	1
2515154014	1	1
2515154015	4	0
2515154016	4	0
2515154017	3	1
2515154018	1	0
2515154019	4	1
2515154020	4	0
2515154021	2	0
2515154022	1	0
2515154023	3	0
2515154024	6	0
2515154025	2	0
2515154026	4	0
2515154027	5	0
2515154028	1	0
2515154029	3	0
2515154030	2	0
2515154031	5	0
2515154032	3	0
2515154033	4	0
2515154055	1	0
2515154059	1	0
2515154070	1	0
2515154071	5	0
2515154072	1	0
2515154073	3	0
2515154074	1	0
2515154075	3	0
2515154076	3	0
2515154077	1	0
2515154078	4	0
2515154079	1	0
2515154080	2	0
2515154081	3	0
2515154082	3	0
2515154083	2	1
2515154084	1	0
2515154085	1	4
2515154086	4	3
2515154087	2	0
2515154088	4	0
2515154089	1	0
2515154090	4	0
2515154091	2	0
2515154092	6	0
2515154093	3	0
2515154094	4	0
2515154095	1	0
2515154096	0	0
2515154097	2	0
2515154098	0	1
2515154099	0	1
2515154100	0	0
2515154101	0	0
2515154102	1	0
2515154103	0	0
2515154104	0	0
2515154105	1	0
2515154106	0	0
2515154107	1	0
2515154108	2	0
2515154109	1	0
2515154110	2	0
2515154111	4	0
2515154112	1	0
2515154113	1	0
2515154114	0	0
2515154115	0	0
2515154116	0	0
2515154117	3	2
2515154118	3	1
2515154119	5	0
2515154120	3	2
2515154121	5	0
2515154122	1	0
2515154123	1	0
2515154124	4	0
2515154125	4	0
2515154126	3	0
2515154127	4	0
2515154128	3	0
2515154129	2	0
2515154130	4	0
2515154131	1	0
2515154132	2	1
2515154133	4	0
2515154134	1	0
2515154135	4	0
2515154136	4	0
2515154137	2	2
2515154138	1	0
2515154139	2	0
2515154140	4	0
2515154141	2	1
2515154142	1	0
2515154143	4	0
2515154144	5	6
2515154145	2	0
2515154146	2	0
2515154147	1	0
2515154148	1	0
2515154149	1	0
2515154150	1	0
2515154151	4	0
2515154152	4	0
2515154153	3	0
2515154154	1	0
2515154155	2	0
2515154156	1	0
2515154157	3	0
2515154158	2	0
2515154159	1	0
2515154160	1	0
2515154161	1	0
2515154162	4	0
2515154163	2	0
2515154165	1	0
2515154166	1	0
2515154167	4	0
2515154168	10	0
2515154169	0	0
2515154170	3	0
2515154171	0	1
2515154172	2	2
2515154173	3	0
2515154174	4	0
2515154175	4	0
2515154176	3	0
2515154177	4	0
2515154178	4	0
2515154179	4	0
2515154180	4	0
2515154181	4	0
2515154182	4	0
2515154183	2	2
2515154184	4	0
2515154185	1	3
2515154186	4	0
2515154187	4	0
2515154188	4	0
2515154189	2	0
2515154190	1	0
2515154191	3	0
2515154193	4	0
2515154194	4	0
2515154195	2	0
2515154196	1	0
2515154197	1	0
2515154199	5	1
2515154200	4	0
2515154202	4	0
2515154203	4	0
2515154205	2	1
2515154206	2	0
2515154209	3	0
2515154210	3	0
2515154211	2	2
2515154212	1	0
2515154213	3	0
2515154214	1	0
2516143000	1	1
2516143002	4	0
2516143004	3	0
2516143008	4	0
2516143012	3	0
2516143014	3	0
2516143018	3	0
2516143022	3	0
2516143025	2	0
2516143028	1	0
2516143104	1	0
2516143105	5	0
2516143113	2	0
2516143114	1	0
2516143117	1	0
2516143118	4	0
2516143128	1	0
2516493005	9	0
2516493006	7	0
2516493010	2	0
2516493012	1	0
2516493016	6	0
2516493017	6	0
2516493018	2	0
2516493019	4	1
2516493021	4	0
2516493022	2	0
2516493023	2	0
2516493024	3	0
2516493025	9	0
2516493026	2	0
2516493027	2	0
2516493028	7	0
2516493029	3	0
2516493030	1	0
2516493031	5	0
2516493032	2	0
2516653041	3	0
2516653042	3	0
2516653046	3	0
2516653047	3	0
2516653048	1	0
2516653049	1	0
2516653050	1	0
2516653053	3	0
2516653054	3	0
2516653055	2	0
2516653058	3	0
2516653063	1	0
2516653072	2	0
2516653073	4	0
2516653074	6	0
2516653075	3	0
2516653076	1	0
2516653077	3	0
2516653079	5	0
2516653080	2	0
2516653082	4	0
2516653084	2	0
2516653085	3	0
2517093000	3	0
2517093001	1	0
2517093002	1	0
2517093003	3	0
2517093004	3	0
2517093005	2	0
2517093006	2	2
2517093007	2	0
2517093008	2	0
2517093009	1	0
2517093010	4	0
2517093011	3	0
2517093012	5	0
2517093013	3	0
2517093014	2	0
2517093015	2	0
2517093016	5	0
2517093017	3	0
2517093018	6	0
2517093019	1	0
2517093040	2	0
2517093041	2	0
2517093042	4	0
2517093043	3	0
2517093044	3	0
2517093047	2	0
2517093048	3	0
2517093049	6	0
2517093050	7	0
2517287015	2	0
2517287016	3	0
2517287017	2	0
2517287019	3	0
2517287020	8	0
2517287021	3	0
2517287022	3	0
2517287023	3	0
2517287024	3	0
2517287025	3	0
2517287027	4	0
2517287028	1	0
2517287029	3	0
2517287030	1	1
2517287031	1	0
2517287033	3	0
2517287034	3	0
2517434007	4	0
2517434008	2	0
2517434009	2	0
2517434010	3	0
2517434011	1	1
2517434012	2	0
2517434013	4	0
2517487019	2	0
2517487020	3	0
2517487021	1	0
2517487022	3	0
2517572024	2	0
2517572073	2	0
2517572074	2	0
2517572076	2	0
2517572096	1	0
2517572098	1	0
2517572101	3	0
2517572108	1	0
2517572109	1	0
2517572110	1	0
2517572111	1	0
2517572112	1	0
2517572113	1	0
2517572114	1	0
2517572115	1	0
2517572116	1	0
2517572117	1	0
2517572118	1	0
2517572119	1	0
2517572120	3	0
2517572121	2	0
2517572122	1	1
2517572123	1	0
2517572124	1	0
2517572136	2	0
2517572137	4	0
2517572143	1	0
2517572145	4	0
2517572146	2	0
2517572147	1	0
2517572148	5	2
2517572149	1	2
2517572150	9	0
2517572151	8	2
2517572152	4	0
2517572153	4	1
2517572154	3	1
2517572155	4	0
2517572156	4	0
2517572157	2	0
2517572158	1	3
2517572159	3	1
2517572160	4	0
2517572161	2	0
2517572162	2	0
2517572163	4	0
2517572164	5	0
2517572165	2	2
2517572166	1	1
2517572167	1	0
2517572174	1	0
2517572175	7	0
2517572184	0	0
2517572189	12	0
2517572190	1	0
2517572194	3	0
2517572206	5	4
2517572208	2	0
2517572209	8	0
2517572210	3	1
2517572211	4	0
2517572212	4	0
2517572213	2	0
2517572214	2	0
2517572217	1	0
2517572218	1	0
2517572221	1	0
2517572222	1	0
2517572231	1	0
2517572232	0	0
2517572233	3	0
2517572235	4	3
2517572236	3	0
2517572237	2	0
2517572238	3	0
2517572239	6	0
2517572240	1	0
2517572241	1	0
2517572242	3	0
2517572243	1	0
2517572244	3	0
2517572245	1	0
2517572246	7	0
2517572247	7	0
2517572248	1	0
2518285526	7	0
2518285527	1	0
2518285528	1	0
2518285529	1	0
2518285530	1	0
2518285531	1	0
2518285532	1	0
2518285533	1	0
2518285534	1	0
2518285535	1	0
2518285536	1	0
2518285537	1	0
2518285548	7	5
2518285549	2	3
2518285550	4	0
2518285551	4	0
2518285552	4	0
2518285553	4	0
2518285554	4	0
2518285555	4	0
2518285558	4	0
2518285559	4	0
2518285560	4	0
2518285561	4	0
2518285562	4	0
2518285563	4	0
2518285564	2	3
2518285603	1	3
2518285608	1	0
2518285615	5	0
2518285616	2	0
2518645527	8	0
2518645583	1	0
2518645584	0	0
2518645585	3	1
2518645586	3	0
2518645587	4	1
2518645588	4	0
2518645589	2	0
2518645591	1	0
2518645592	1	0
2518645593	0	0
2518645594	0	0
2518645595	0	0
2518645596	1	1
2518645597	0	0
2518645598	1	0
2518645599	1	0
2518645600	2	0
2518645601	1	0
2518645602	6	0
2518645603	1	0
2518645604	5	0
2518645605	2	0
2518645607	3	0
2518645608	7	0
2518645609	1	0
2518645611	1	0
2518645612	2	0
2518645613	2	1
2518645614	3	1
2518645615	2	0
2518645616	3	0
2518645617	1	0
2518645618	0	1
2518645619	1	0
2518645620	4	0
2518645621	7	0
2518645622	0	1
2518645623	1	0
2518645624	3	1
2518645625	4	1
2518645626	4	0
2518645627	4	0
2519103012	7	0
2519103013	1	0
2519103014	1	0
2519103015	0	0
2519103016	1	0
2519103025	1	0
2519103027	1	0
2519103046	1	0
2519103178	3	1
2519103180	1	0
2519103181	1	0
2519103182	3	0
2519103183	2	0
2519103184	2	0
2519103185	4	0
2519103186	2	0
2519103187	4	0
2519103188	7	0
2519103189	7	0
2519103190	3	2
2519103191	4	0
2519103192	4	0
2519103193	4	0
2519103194	4	0
2519103195	4	0
2519899509	1	0
2519899511	1	0
2519899515	1	0
2519899518	4	0
2519899531	0	0
2519899539	3	0
2519899631	1	0
2519899632	1	0
2519899633	1	0
2519899634	6	0
2519899635	8	0
2519899636	1	0
2519899637	0	0
2519899638	3	0
2519899639	2	1
2519899640	5	0
2519899641	2	0
2519899642	1	0
2519899643	2	1
2519899644	1	0
2519899645	1	0
2519899646	1	0
2519899647	2	1
2519899648	2	2
2519899649	4	0
2519899650	0	0
2519899651	1	0
2519899652	3	0
2519899653	2	0
2519899654	3	0
2519899659	7	0
2519899663	2	0
2519899664	4	0
2519899666	1	0
2519899667	1	0
2519899668	1	0
2519899669	3	1
2519899670	1	0
2519899671	1	0
2519899672	4	0
2519899678	1	0
2519899679	4	0
2519899680	2	0
2519899681	5	1
2519899682	7	0
2519899683	1	0
2519899684	2	0
2519899685	1	0
2519899686	1	1
2519899687	1	0
2519899688	1	0
2519899689	3	0
2519899690	1	0
2519899691	4	0
2519899692	3	1
2519899693	1	0
2519899694	1	0
2519899695	8	2
2519899696	3	0
2519899697	1	0
2519899698	3	0
2519899699	4	0
2519899771	3	0
2519899776	3	0
2521172536	1	1
2521172540	1	0
2521172542	1	0
2521172543	1	0
2521172544	1	0
2521172559	1	0
2521172560	1	0
2521172561	2	0
2521172563	1	0
2521172577	2	0
2521172611	8	0
2521172612	3	0
2521172614	3	0
2521172615	1	0
2521172618	4	0
2521172620	4	0
2521172622	5	0
2521172624	1	0
2521172625	1	0
2521172626	3	0
2521172627	9	0
2521172628	0	0
2521172629	1	0
2521172630	4	0
2521172631	2	1
2521172632	2	0
2521172633	4	0
2521172634	1	0
2521172635	3	0
2521172636	2	0
2521172637	2	0
2521172638	5	0
2521172639	0	0
2521172640	1	0
2521172641	0	0
2521172642	0	1
2521172643	2	0
2521172644	0	0
2521172645	2	0
2521172646	1	0
2521172647	2	0
2521172648	1	0
2521172649	2	0
2521172650	3	0
2521172651	2	0
2521172653	1	0
2521172654	1	0
2521172655	4	1
2521172657	1	0
2521172658	1	0
2521172659	1	0
2521172660	1	0
2521172661	11	0
2521172662	1	0
2521172663	0	0
2521172664	1	0
2521172665	1	0
2521172666	1	0
2521172667	0	0
2521172668	0	0
2521172669	1	0
2521172670	0	0
2521172671	1	0
2521172672	0	0
2521172673	0	0
2521172674	1	0
2521172675	1	0
2521172693	1	0
2521172694	1	0
2521172760	3	0
2522125054	2	0
2522125060	1	0
2522125061	1	0
2522125070	2	0
2522125078	6	0
2522125081	3	0
2522125083	1	0
2522125086	5	0
2522125097	1	0
2522125098	7	0
2522125115	1	0
2522125132	2	0
2522125133	5	1
2522125134	2	0
2522125135	3	0
2522125136	4	1
2522125138	1	0
2522125150	9	0
2522125151	3	0
2522125155	1	0
2522125156	1	0
2522125157	4	1
2522125168	5	0
2522125169	1	0
2522125170	2	0
2522125171	1	0
2522125172	1	0
2522125173	1	0
2522125174	1	0
2522572011	2	0
2522572013	2	0
2522572018	8	0
2522572020	2	0
2522572025	3	0
2522572047	1	0
2522572051	2	0
2522572060	8	0
2522572063	1	0
2522572065	5	0
2522572066	6	0
2522572098	0	0
2522572099	2	0
2522572100	2	0
2522572101	3	0
2522572102	2	0
2522572103	1	0
2522572104	3	0
2522572127	3	0
2522572128	1	0
2522572130	1	0
2522572149	0	1
2522572150	7	0
2522572153	1	0
2522572155	1	0
2522572156	1	1
2522572157	2	0
2522572158	2	3
2522572159	3	0
2522572160	2	0
2522572161	3	0
2522572162	1	0
2522572178	3	1
2522572179	3	1
2522572180	1	0
2522572182	3	0
2522572188	3	0
2522572190	1	0
2522572191	5	1
2522572192	1	1
2522572193	3	0
2522572195	1	0
2522572201	2	1
2522572202	6	0
2523231010	1	0
2523231012	2	0
2523231013	1	0
2523231014	3	0
2523231015	3	0
2523231016	2	0
2523231017	1	0
2523231019	4	1
2523231023	1	1
2523231024	7	0
2523231025	2	0
2523231026	2	0
2523231027	4	0
2523231029	3	0
2523231030	1	0
2523231034	1	0
2523231049	3	0
2523231050	4	0
2523231052	1	0
2523231054	1	0
2523231055	3	0
2523231056	1	0
2523231059	4	0
2523231061	1	0
2523231062	3	0
2523231063	4	0
2523231064	3	0
2523231065	2	0
2523231066	2	0
2523231067	4	0
2523231068	1	0
2523231069	4	0
2523231070	1	0
2523231083	1	0
2523231084	1	0
2523231085	3	0
2523533501	3	0
2523533502	0	0
2523533505	4	0
2523533506	0	0
2523533507	1	0
2523533508	3	0
2523533511	6	0
2523533522	1	1
2523533526	2	0
2523533527	4	0
2523533528	0	1
2523533529	8	0
2523533530	1	0
2523533531	3	0
2523533532	2	0
2523533533	4	0
2523533534	2	0
2523533535	3	1
2523533536	1	0
2523533537	1	0
2523533538	4	3
2523533539	1	0
2523533540	2	1
2523533541	1	0
2523533542	4	0
2523533543	5	0
2523533544	2	0
2523533545	1	0
2523533546	2	0
2523533547	2	0
2523533548	2	0
2523533549	4	1
2523533550	1	1
2523533551	1	1
2523533552	3	0
2523533553	4	0
2523533554	2	0
2523533555	2	0
2523533556	1	0
2523533557	1	0
2523533558	2	0
2523533559	3	0
2523533560	2	0
2523533561	2	0
2523533562	4	0
2523533568	1	0
2523533569	2	0
2523533576	3	0
2523533577	3	0
2523533578	2	0
2523533580	2	0
2523533581	1	0
2523533582	1	0
2523533583	3	0
2523533584	4	1
2523533585	2	0
2523533586	1	1
2523533587	1	0
2523533588	4	0
2523533589	1	0
2523533595	4	0
2523533596	3	0
2523533597	4	0
2523533598	1	0
2523533599	2	0
2523533600	3	0
2523533601	1	0
2523533604	4	0
2523533605	4	0
2523533606	1	0
2523533607	1	0
2523533608	4	0
2523533609	4	0
2523533610	3	0
2523533611	2	0
2523533612	2	0
2523533613	1	0
2523533614	2	2
2523533615	1	0
2523533616	7	0
2523533617	11	0
2523533618	1	0
2523533619	2	0
2523533620	1	0
2523533621	2	1
2523533622	1	0
2523533623	1	0
2523533624	1	0
2523533625	1	0
2523533626	4	0
2523533627	1	0
2523533628	1	0
2523533629	1	0
2523533630	1	0
2523533634	6	0
2524023058	1	0
2524023059	1	0
2524023060	2	0
2524023062	1	1
2524023067	4	0
2524023070	2	0
2524023073	8	0
2524023086	7	1
2524023087	8	0
2524023091	2	3
2524023129	8	0
2524023130	1	0
2524023134	7	1
2524023135	8	0
2524023136	1	0
2524023137	4	0
2524023138	1	0
2524023142	1	0
2524023143	6	1
2524023144	1	0
2524023145	1	0
2524023146	1	0
2524023147	4	1
2524023148	1	0
2524023149	1	0
2524023150	1	0
2524023151	4	0
2524023152	4	0
2524023153	6	0
2524023154	1	0
2524023155	5	1
2524023156	4	1
2524023157	2	0
2524023158	1	1
2524023159	6	0
2524023160	3	0
2524023161	2	2
2524023162	4	1
2524023163	4	0
2524023164	4	4
2524023165	3	0
2524023166	2	2
2524023167	4	0
2524023168	1	0
2524023169	5	0
2524023187	1	0
2524023191	5	0
2524023192	8	0
2524023203	1	0
2524023204	2	0
2524023205	1	0
2524023206	1	0
2524023207	2	0
2524023208	2	0
2524023209	1	0
2524023210	1	0
2524023212	2	0
2524023213	2	0
2524023214	2	0
2524023225	5	0
2524023226	3	0
2524023227	2	0
2524023228	1	0
2524023229	9	0
2524023241	1	0
2524023242	7	1
2524023243	4	0
2524023244	7	0
2524023245	4	0
2524023246	4	0
2524023247	3	0
2524023249	1	0
2524023250	1	0
2524614511	3	0
2524614512	1	0
2524614513	1	0
2524614514	6	1
2524614515	3	0
2524614516	3	0
2524614529	4	0
2524614530	4	0
2524614531	4	0
2524614535	4	1
2524614536	3	0
2524614539	1	0
2524614540	4	0
2524614541	1	0
2524614542	0	1
2524614543	0	1
2524614544	0	0
2524614545	1	0
2524614546	1	0
2524614547	0	1
2524614548	1	0
2524614551	1	0
2524614552	1	0
2524614553	2	0
2524614554	1	0
2524614555	2	0
2524614556	2	0
2524614557	3	1
2524614558	1	0
2524614559	5	0
2524614560	2	1
2524614561	2	2
2524614562	1	0
2524614563	4	0
2524614564	3	0
2524614565	3	2
2524614567	0	1
2524614568	2	1
2524614570	2	0
2524614571	2	0
2524614573	2	0
2524614575	0	0
2524614576	0	0
2524614577	4	0
2524614578	2	0
2524614580	0	0
2524614581	1	0
2524614582	1	0
2524614583	2	0
2524614584	2	0
2524614585	2	0
2524614594	9	0
2524614595	3	2
2524614596	4	0
2524614597	3	0
2524614599	1	0
2524614607	4	0
2524614608	1	0
2524614609	5	0
2524614613	2	0
2524614631	3	1
2524614632	1	0
2524614633	2	1
2524614634	4	1
2524614635	5	0
2524614636	11	0
2524614643	1	0
2524614644	1	0
2524614645	3	1
2524614648	2	0
2524614649	1	0
2524614650	3	0
2524614651	2	0
2524614654	3	0
2524614657	2	0
2524614658	3	1
2524614659	3	0
2524614660	2	0
2524614662	2	1
2524614663	3	0
2524614664	1	1
2524614665	1	0
2524614667	2	0
2524614668	1	0
2524614671	2	0
2524614672	4	1
2524614673	1	0
2524614676	3	0
2524614677	3	1
2524614678	1	0
2524614679	3	0
2524614680	3	0
2524614681	4	0
2524614682	6	0
2524614683	1	0
2524614684	0	0
2524614685	6	0
2524614686	1	0
2524614687	4	1
2524614688	3	1
2524614689	3	1
2524614690	2	0
2524614691	3	0
2524614692	4	0
2524614693	7	0
2524614694	2	1
2524614695	5	1
2524614696	5	0
2524614697	4	0
2524614698	8	0
2524614699	1	0
2524614700	3	0
2524614701	2	0
2524614702	4	0
2524614703	3	0
2524614704	2	1
2524614705	8	0
2524614706	3	0
2524614707	2	0
2524614708	3	1
2524614709	3	0
2524614710	0	0
2524614711	1	1
2524614712	3	0
2524614713	5	0
2524614714	4	0
2524614715	5	0
2524614716	5	0
2524614717	0	0
2524614718	3	1
2524614719	2	0
2524614723	1	0
2524614724	5	0
2524614725	1	0
2524614726	1	0
2524614727	3	0
2524614729	2	0
2524614730	1	0
2524614731	1	0
2524614732	2	0
2524614733	1	0
2524614734	2	0
2524614757	5	1
2524614758	2	0
2524614759	3	1
2524614760	5	1
2524614761	1	0
2524614762	2	0
2524614763	3	0
2524614766	5	0
2524614767	4	0
2524614768	1	0
2524614769	2	0
2524614770	3	0
2524614797	5	0
2524614798	1	0
2524614800	1	1
2524614801	1	1
2524614802	5	1
2524614803	3	0
2524614804	1	0
2524614805	2	0
2524614806	1	0
2524614807	3	0
2524614808	6	0
2524614815	4	0
2524614816	4	0
2524614821	5	0
2524614822	2	0
2524614837	3	0
2524614838	6	0
2524614842	3	0
2524614843	5	0
2524614846	5	0
2524614847	7	0
2524614850	6	0
2524614851	1	1
2524614852	4	0
2524614853	3	0
2524614854	10	0
2524614855	2	0
2524614856	6	0
2524614857	4	0
2524614859	2	0
2524614860	4	0
2524614861	8	0
2524614862	3	0
